Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20
,Korea; South,36,128,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8961,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,11468,11503,11541,11590,11629,11668,11719,11776,11814,11852,11902,11947,12003,12051,12085,12121,12155,12198,12257,12306,12373,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,12850,12904,12967
,Asia,,,554,653,937,1429,2105,2912,5558,6139,8204,9885,11987,16733,19822,23831,27573,30731,34261,36983,40008,42543,44580,44958,60104,66577,68654,70777,72711,74501,74923,75465,76052,77749,77970,78435,79110,79832,80797,81715,82986,84178,85008,86013,86648,87315,88087,88685,89113,89381,89584,90025,90188,90562,90991,91600,92091,92691,93358,94103,95007,95942,97117,98068,99067,100248,101549,102851,104508,106112,107566,109392,111692,114111,115792,118095,120443,123854,126025,128487,131461,134662,137840,141416,145683,149587,153351,157591,162895,168026,172676,177800,183163,188519,194916,200741,205973,211326,217087,222664,228614,235049,242108,248566,255846,264533,273498,281541,290442,299728,308384,318880,328651,337808,346797,358413,367236,377878,389934,402099,415078,428825,444076,459009,474457,489469,503912,516687,532640,549881,568957,587804,608085,627189,648549,671899,694238,716668,740722,765063,786191,810549,836649,863829,885360,913195,946608,971754,998936,1027721,1056889,1088319,1119550,1149446,1178264,1209112,1240884,1272479,1306004,1340500,1375618,1408393,1442495,1496644,1534439
,Seoul,,,0,0,1,1,1,1,1,1,4,7,7,8,8,8,10,11,12,12,12,12,12,12,12,12,12,14,14,14,16,21,23,27,31,35,51,61,74,82,87,93,99,100,105,106,113,120,130,156,202,219,231,240,248,254,267,271,282,299,316,324,330,335,349,362,376,391,413,435,454,478,494,513,533,552,563,571,581,592,597,600,602,610,613,618,619,621,623,624,625,626,628,628,628,629,629,629,633,633,633,634,635,637,637,637,637,637,637,650,668,688,700,708,713,725,731,735,736,743,752,756,759,762,768,775,783,802,827,846,855,861,862,876,896,910,925,952,981,996,1014,1028,1047,1072,1102,1114,1121,1132,1146,1170,1188,1204,1219,1227,1231,1241,1250,1267,1284,1298,1305,1313,1322,1334,1346
,Gyeonggi,37.587,127.1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,516,539,562,572,580,590,596,606,615,624,628,631,639,644,649,650,654,654,656,658,658,659,660,662,668,671,674,676,676,678,678,680,681,681,681,682,684,688,694,700,706,708,714,717,721,721,724,725,735,735,741,754,760,766,768,781,795,815,827,840,853,867,880,894,908,922,936,950,964,978,992,1011,1025,1035,1046,1057,1068,1079,1090,1101,1112,1123,1134,1145,1156,1167,1178,1189,1200,1211,1222,1233,1251
,Gangwon,37.822500000000005,128.23000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,42,45,45,47,49,49,49,49,49,49,49,50,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,58,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,62,63,64,65,65
,North Chungcheong,36.6365,127.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,47,47,49,50,52,52,55,55,56,56,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,63,64,64
,South Chungcheong,36.519,126.87700000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,133,134,135,135,136,137,137,138,138,138,139,139,139,139,139,139,141,141,141,141,141,141,141,141,141,142,142,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,144,144,144,144,144,144,144,145,145,145,145,145,145,145,146,146,146,146,146,146,146,146,146,146,146,147,148,149,150,150,151,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,169,171,172
,North Jeolla,35.727999999999994,127.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,15,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,23,24,25,26,27,28
,South Jeolla,34.7945,126.5955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,23,24,25,25
,North Gyeongsang,36.554,129.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,1304,1307,1310,1314,1316,1317,1320,1320,1327,1330,1333,1337,1342,1347,1352,1356,1358,1359,1361,1361,1363,1363,1364,1364,1364,1364,1365,1365,1365,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366,1367,1367,1368,1368,1368,1368,1368,1368,1368,1368,1370,1370,1376,1377,1378,1378,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1379,1380,1381,1382,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1383,1384,1385,1386,1387,1388,1389,1390
