Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20
,Austria,47.5162,14.5501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10180,10711,11129,11524,11781,12051,12297,12639,12942,13244,13555,13806,13945,14041,14226,14336,14476,14595,14671,14749,14795,14873,14925,15002,15071,15148,15225,15274,15357,15402,15452,15531,15558,15597,15621,15650,15684,15752,15774,15833,15871,15882,15961,15997,16058,16109,16201,16242,16269,16321,16353,16404,16436,16486,16503,16539,16557,16591,16628,16655,16685,16731,16733,16759,16771,16805,16843,16898,16902,16968,16979,17005,17034,17064,17078,17109,17135,17189,17203,17223,17271,17323,17341,17380,17408,17449,17477,17522,17580,17654
,European Union,,,0,0,2,3,3,4,8,10,10,14,19,21,23,24,24,24,26,31,33,38,40,41,41,41,42,42,42,42,42,42,42,42,42,46,57,85,146,201,332,503,679,839,1223,1847,2831,3725,4759,5746,8134,10863,11558,20403,25074,29825,37294,44820,54170,67098,81389,96161,109446,129956,148126,172216,200610,229778,259838,283479,309787,340070,370996,400603,431832,459276,483388,505379,529444,558151,584763,616303,639408,684743,703594,722473,746278,780656,804201,821347,844482,860052,877265,893861,911442,926363,939302,950262,962460,974119,983745,995617,1007956,1017970,1026668,1034265,1044713,1059714,1072223,1084182,1093140,1101294,1111414,1119476,1126972,1135006,1143279,1150318,1156543,1162221,1169105,1174629,1179464,1188102,1194187,1199444,1203527,1211446,1217064,1224642,1231025,1237426,1241808,1245516,1249624,1255700,1260932,1266653,1272467,1277250,1281160,1286252,1290457,1295763,1302046,1307281,1311869,1315483,1320328,1325617,1332279,1338937,1343608,1347535,1350909,1356861,1361945,1367911,1374124,1377623,1380362
,Europe,,,0,0,2,3,3,4,8,10,10,16,21,23,25,26,26,26,29,34,36,41,43,44,44,44,45,45,45,45,45,45,62,104,197,275,379,539,803,1092,1464,2201,2727,3356,4335,5735,7507,9648,12190,14975,18380,23445,26830,38279,46465,54844,65599,76710,90343,108678,129143,150561,169646,195080,218692,248355,283314,318897,355350,384748,415612,450736,487205,522698,559733,593168,622925,649903,678757,713086,746174,784516,814782,867099,892150,917570,948308,990628,1022616,1048595,1081004,1103301,1128789,1154322,1179793,1204030,1225808,1245850,1266087,1286565,1304601,1325612,1347451,1369221,1389580,1408568,1429581,1456329,1481177,1504841,1524994,1543907,1565385,1584583,1602222,1620629,1639451,1655799,1671531,1685406,1701347,1714892,1728095,1745184,1760282,1773488,1785182,1801099,1814453,1829793,1844087,1858459,1871141,1882847,1894700,1908561,1921512,1935323,1949050,1961500,1973213,1985447,1996705,2009912,2023783,2036851,2048934,2059721,2071568,2083961,2097395,2110892,2122050,2132121,2142548,2154710,2166255,2178601,2191036,2200483,2209208
,Tyrol,47.1945,11.531500000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,16,32,57,109,167,206,254,254,328,382,464,508,575,644,803,1052,1301,1551,1801,1934,2147,2261,2401,2511,2575,2645,2693,2756,2804,2870,2946,3086,3225,3269,3283,3317,3328,3332,3336,3340,3344,3348,3352,3356,3360,3364,3368,3372,3376,3380,3384,3388,3392,3396,3400,3404,3408,3412,3417,3422,3427,3432,3437,3442,3447,3452,3457,3462,3467,3472,3477,3482,3487,3492,3497,3502,3507,3512,3517,3522,3527,3532,3537,3537,3538,3538,3538,3539,3539,3540,3540,3540,3540,3540,3540,3540,3540,3541,3542,3542,3542,3542,3542,3542,3543,3544,3544,3545,3547,3547,3547,3548
,Salzburg,47.4925,13.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,8,9,12,14,19,20,30,39,58,66,89,127,167,185,269,372,429,516,591,728,794,850,910,949,993,1033,1058,1068,1077,1085,1119,1129,1146,1154,1157,1169,1174,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218,1219,1220,1220,1220,1220,1220,1220,1220,1221,1221,1221,1222,1223,1223,1223,1223,1223,1223,1224,1226,1230,1235,1239,1241,1244,1244,1247,1248,1249,1250,1251
,Styria,47.22,14.8675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,10,16,17,25,33,52,71,111,139,171,220,282,340,388,423,486,558,627,699,812,873,929,1022,1085,1135,1169,1234,1285,1312,1354,1399,1435,1470,1499,1525,1553,1578,1588,1593,1598,1603,1608,1613,1618,1623,1628,1633,1638,1643,1648,1653,1658,1663,1668,1673,1678,1683,1688,1693,1698,1703,1708,1713,1718,1723,1728,1734,1740,1746,1752,1758,1764,1770,1776,1782,1788,1794,1800,1806,1812,1818,1824,1830,1836,1836,1837,1837,1840,1842,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1849,1850,1851,1853,1853,1853,1857,1862,1863,1865
,Lower Austria,48.221000000000004,15.7605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,15,23,31,36,40,45,51,63,82,111,152,216,256,305,355,394,446,564,620,750,873,1163,1299,1452,1584,1676,1726,1790,1862,1863,1942,2061,2111,2157,2203,2249,2302,2342,2376,2387,2397,2407,2417,2427,2437,2447,2457,2467,2477,2487,2497,2507,2517,2527,2537,2547,2557,2567,2577,2587,2597,2607,2617,2627,2637,2647,2658,2669,2680,2691,2702,2713,2724,2735,2746,2757,2768,2779,2790,2801,2812,2823,2834,2845,2856,2867,2867,2867,2867,2868,2873,2880,2881,2884,2887,2891,2892,2900,2905,2911,2913,2924,2926,2929,2939,2940,2947,2955,2961,2962,2968,2977,2983,2992,3001
,Vienna,48.2185,16.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,23,28,32,35,43,50,66,82,101,122,128,166,209,234,296,359,403,476,617,702,825,1029,1090,1151,1340,1458,1553,1621,1679,1689,1712,1777,1827,1882,1924,1975,1997,2011,2032,2053,2078,2103,2128,2153,2178,2203,2228,2253,2278,2303,2328,2353,2378,2403,2428,2453,2478,2503,2528,2553,2579,2605,2631,2657,2683,2709,2735,2761,2787,2813,2839,2865,2891,2917,2943,2969,2995,3021,3047,3073,3099,3125,3151,3177,3203,3229,3239,3249,3260,3280,3307,3348,3361,3402,3412,3422,3448,3466,3490,3504,3522,3567,3575,3583,3621,3651,3652,3674,3708,3708,3720,3753,3775,3795,3815
,Carinthia,46.7515,13.8605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,4,5,6,18,27,41,50,71,83,105,122,141,161,183,204,224,260,269,288,297,300,307,310,330,333,341,361,366,376,383,385,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,414,415,416,416,416,416,416,416,416,416,416,416,417,418,419,419,419,419,421,421,422,422,425,425,426,429,429,429,429
,Vorarlberg,47.2185,9.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,11,13,16,22,34,48,55,99,124,151,197,228,263,323,379,407,435,535,577,610,632,666,680,697,718,722,746,764,791,797,805,820,826,831,832,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,860,862,864,866,868,870,872,874,876,878,880,882,884,886,888,890,892,894,896,898,898,899,900,901,901,904,904,905,906,907,907,907,907,907,907,907,907,907,907,907,907,907,907,907,908,908,910,910,910
